-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,12,-1610612727,-1610612727,-1610612727,28,-1610612727,-1610612727,-1610612727,11,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,1,12,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,11,1,2,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1610612736,12,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,11,2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1610612736,12,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,11,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1610612736,12,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,11,2,-1,-1,-1,-1
-1,-1,-1,-1,0,12,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,11,2,-1,-1,-1
-1,-1,-1,-1,8,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,-1610612727,10,-1,-1,-1
